refdes	value	footprint	farnell	qty/1	model-name	
R33	330R	RTH300mil	9343032	1	MF12 330R	
U8	unknown	DIP6	1708441	unknown	ASSR-1611-001E 	
D1	unknown	DTH300mil	2723902	1	1N4003G	
J14	?	smdjmp	unknown	unknown	unknown	
J3	?	smdjmp	unknown	unknown	unknown	
R32	330R	RTH300mil	9343032	1	MF12 330R	
U7	unknown	DIP6	1708441	unknown	ASSR-1611-001E 	
R46	10K	RTH300mil	-	0	unknown	
R49	10K	RTH300mil	-	0	unknown	
EXT2	unknown	HEADER10_2	1593442
	1	2213S-10G
	
EXT1	unknown	HEADER26_2	1622415	1	77313-118-26LF	
U18	unknown	DIP14	1739569 	unknown	CD74HC125E	
COUNTER1	unknown	TERM3_100mil	2007968	unknown	MC000002	
CONN7	unknown	TERM6C_100mil	2007971	unknown	MC000005	
U6	unknown	DIP16	9591664	unknown	SN74HC595N	
J17	?	smdjmp	unknown	unknown	unknown	
J16	?	smdjmp	unknown	unknown	unknown	
J15	?	smdjmp	unknown	unknown	unknown	
J12	?	smdjmp	unknown	unknown	unknown	
J11	?	smdjmp	unknown	unknown	unknown	
J10	?	smdjmp	unknown	unknown	unknown	
J8	?	smdjmp	unknown	unknown	unknown	
J6	?	smdjmp	unknown	unknown	unknown	
COINCELL	20mm	coincell	2064715 	1	CH25-2032LF	
R21	15K	RTH200mil	9341331	1	MF25 15K	
R20	15K	RTH200mil	9341331	1	MF25 15K	
USBDEVICE1	-	USB_B	1696537	1	MC32596	
USBHOST1	-	USB_A	1696534	0	unknown	
CONN8	-	magjack	1901301	1	0813-1X1T-57-F	
R10	-	RTH300mil	-	0	unknown	
SD_SPI1	SDAMB-01215BT00 	SD_SMD	9186140 	1	SDAMB-01215BT00 	
CONN2	-	TERM6_100mil	2007971	1	MC000005	
M1	unknown	MBED	1761179	1	mbed_lpc1768	
